booking_id,hotel_id,customer_id,full_name,email,phone_number,booking_date,checkin_date,checkout_date,room_type,room_rate,num_guests,booking_channel,booking_status,payment_status,payment_method,tax_amount,discount_amount,city,state,country
BKG000027,HTL023,CUST07356,Sanjay  Mishra,sanjay..mishra@hotmail.com,97067O1691,05/12/2024,24/03/2025,"March 31, 2025",Delux,"""2600""",2,OTA-MMT,N/S,Failed,Netbanking,INR468.0, 304.24 ,MUMBAI,Maharashtra,India
BKG000028,HTL008,CUST49132,  Suresh Rao,SURESH.RAO@MAIL.COM,+91-74848 13004,"March 26, 2024",05/07/24,06 Jul 2024,Exec, 3464 ,1,AGODA,CONFIRMED,Pending,wallet,623.52,618.52,Mumba,MAHARASHTRA,India
BKG000029,HTL006,CUST32008,Swati Chopra,swati.chopra@mail,N/A,10/10/2023,17-07-2024,29/07/24,  Deluxe,2436.00,2,MakeMyTrip,Confirmed,PAID,UPI,438,"""325.33""",HYDERABAD,Telengana,India
BKG000030,HTL030,CUST74178,SANJAY CHOPRA,NA,+916244654677,20-07-2024,26 Jan 2025,2025-02-05,Standard,"""1570""",null,MMT,No-show,PAId,Wallt,282.60,INR81.51,kolkatta,W Bengal,India
BKG000031,HTL033,CUST23601,Meera  Sethi,,N/A,20-03-2024,04/20/2024,04/22/2024,delux,2742,5,Walk-in,Confirm,paidd,Creditcard,INR493.56,8,chenai,TamilNadu,India
BKG000032,HTL009,CUST10351,uma bajaj,uma.bajaj@mail.com,7868790604,"August 28, 2024","April 29, 2025",01/05/25,Delux, 2546 ,2,AGODA,confirmed,PAId,net banking,,106.04,mUMBAI,Maharastra,India
BKG000033,HTL042,CUST50141,Anil Malhotra  ,NA,+919078977554,12/07/24,2024-10-22,10/29/2024,suite,5160.00,1,AGODA,CONFIRMED,PAId,debit card,928, 442.79 ,Channai,Tamilnadu,India
BKG000034,HTL032,CUST31567,Arjun Malhotra,arjun.malhotra@mail.com,+91-91620 42985,19/12/23,02/04/2024,03/04/2024,SUITE,INR4850,4,Agoda,Confirmed,paid,upi,873.00,467.68,HYDERABAD,Telengana,India
BKG000035,HTL005,CUST76436,Sunita Patel,sunitapatel@,6177031637,17 Oct 2024,"January 17, 2025",24 Jan 2025,DELUXE,2297,3,Booking.com,NO SHOW,paidd,U P I,413.46,INR457.97,Bangloree,Karnataka,India
BKG000036,HTL017,CUST07556,Ravi Mukherjee,ravi.mukherjee@mail,+918193932727,"July 26, 2024",15-10-2024,20-10-2024,Delux,2768.00,5,WALK IN,CONFIRMED,failed,Net Banking,INR498.24, 2.95 ,chenai,Tamilnadu,India
BKG000037,HTL048,CUST60237,Ajay Shah  ,ajay.shah@mail,,"May 08, 2024",26/11/2024,02-12-2024,  Deluxe, 2766 ,1,OTA-MakeMyTrip,Cancelled,Pai d,UPI,497.88,356.55,Chennai,TAMIL NADU,India
BKG000038,HTL014,CUST01232,MEERA SETHI,meera.sethi@gmail.com,7510255501,07/15/2024,11/13/2024,14 Nov 2024,Standard ,Rs 1235,3,App,CONFIRMED,PAId,Debitcard,INR222.3,Rs 144.44,DELHI,DELHI,India
BKG000039,HTL035,CUST60982,Mohan Sharma  ,mohan.sharma@yahoo.com,N/A,12-10-2024,11/03/2025,15 Mar 2025,STD,"1,335.00",1,agoda,Confirm,PENDING,Wallet,240,"""1.93""",Mumbai,Maharashtra,India
BKG000040,HTL012,CUST71644,Rajesh Reddy,rajesh.reddy@hotmail.com,,"July 30, 2024",10/31/2024,13/11/24,delux, 2779 ,1,app,CANCEL,Paid,csh,500.22,N/A,Chenai,TamilNadu,India
BKG000041,HTL023,CUST57899,Arjun Verma,arjun.verma@outlook.com,INVALID,07/09/2024,"April 07, 2025",12/04/2025,dELuxE,2262,3,walk-in,confirmed,Pendig,DEBIT CARD,407.16,86.43,HYDERABAD,TELANGANA,India
BKG000042,HTL003,CUST77015,Amit Rao,NA,,"July 13, 2024",2024-12-24,02 Jan 2025,  Deluxe,2953,4,BOOKING.COM,Pndng,paid,Net Banking,"""531.54""","""547.88""",Hyd,Telengana,India
BKG000043,HTL031,CUST55616,MEERA SHARMA,meera.sharma@rediffmail,7543551962,06/25/2023,28/03/24,10-04-2024,executiv,"3,689.00",,OTA-Booking.com,pend,PAID,Upi, 664.02 ,INR99.59,Hyd,telangana,India
BKG000044,HTL039,CUST59879,Sunita Verma,sunita.verma@gmail,,18/11/24,2025-03-26,2025-03-29,  Deluxe,2366,3,app,Confirmed,pendng,CASH,N/A,Rs 116.26,Mumbai,Maharashtra,India
BKG000045,HTL015,CUST26112,Rekha Khanna,rekha.khanna@gmail.com,N/A,"January 14, 2024",05/05/2024,11 May 2024,Suite, 4881 ,1,makemytrip,CONFIRMED,paidd,CREDIT CARD,Rs 878.58,,Kolkota,WEST BENGAL,India
BKG000046,HTL008,CUST63336,Ravi Pandey,ravi.pandey@rediffmail,8416-423-165,08/05/2023,29-03-2024,2024-04-02,STD,1635.00,2,booking.com,Confirm,Pai d,Debitcard,"""294.3""", 215.5 ,Mumbai,maharashtra,India
BKG000047,HTL007,CUST06249,  Asha Kapoor,,6179993242,25 Oct 2024,02/08/2025,13/02/2025,suite ,INR4746,4,Walk In,Confirmed,PAId,U P I,854.28,"""777.19""",Hydrabad,Telengana,India
BKG000048,HTL025,CUST75342,Deepak  Malhotra,NA,6472386410,04-04-2024,20 Oct 2024,"October 25, 2024",Delux,"""2369""",3,APP,cncl,Pai d,WALLET,426.42,INR170.06,Kolkota,West Bengal,India
BKG000049,HTL007,CUST38697,rekha bose,,,12-04-2024,03 Feb 2025,2025-02-07,dELuxE,INR2888,4,agoda,no-show,PENDING,Netbanking,519.84,INR246.83,Bangalore,KARNATAKA,India
BKG000050,HTL003,CUST06485,Kavya Sharma  ,kavyasharma@,90435O6050,01/04/2023,18-01-2024,19-01-2024,Sute,Rs 4870,4,walk-in,PENDING,Paid,U P I,876,N/A,kolkatta,west bengal,India
BKG000051,HTL040,CUST74178,Harish Bajaj,,9538590673,07/08/2024,07/10/24,10/10/2024,standard,Rs 1620,2,WebSite,Cncld,Pndng,U P I,N/A,"""287.66""",Hyderabad,TELANGANA,India
BKG000052,HTL026,CUST06429,Uma Pillai  ,,6663201629,18/05/2024,"October 19, 2024",2024-10-22,suite,Rs 5166,5,OTA-MakeMyTrip,pend,Pending,Crdit Card,929.88,60.63,Bengaluru,Karnatak,India
BKG000053,HTL014,CUST65108,Suresh Iyer  ,suresh.iyer@rediffmail,7135490145,24/06/23,2024-02-16,24 Feb 2024,Standerd, 1515 ,4,Website,cancel,paid,Debitcard,,INR185.06,mUMBAI,Maharastra,India
BKG000054,HTL030,CUST37513,Divya Kapoor  ,divya.kapoor@mail.com,9780664315,18/06/24,"October 14, 2024",10/23/2024,Suites,4951,6,WebSite,N/S,Pendig,wallet,891.18,Rs 803.77,Delhi,Delhi,India
BKG000055,HTL003,CUST30163,  Anjali Shah,anjali.shah@rediffmail.com,9262-829-682,28/03/2025,24-04-2025,04/05/25,  Deluxe,INR2243,3,OTA-MMT,Confirmed,paidd,wallet,"""403.74""",200.20,chenai,TAMIL NADU,India
BKG000056,HTL026,CUST46180,SANJAY CHOPRA,sanjaychopra@,N/A,2024-06-25,02-08-2024,11 Aug 2024,suite ,INR4815,2,booking.com,CONFIRMED,Pai d,NET BANKING,"""866.7""",692,Bangalore,Karnatak,India
BKG000057,HTL010,CUST24921,NEHA PILLAI,neha.pillai@mail,7028497603,20/09/24,18/02/2025,03/01/2025,dELuxE,,3,WEBSITE,CANCELLED,PAId,CASH,517.14,Rs 503.87,Bengluru,KARNATAKA,India
BKG000058,HTL035,CUST17928,PRIYA MEHTA,priya.mehta@mail,+919738546623,"November 14, 2024",24-12-2024,"January 02, 2025",STANDARD, 1997 ,4,OTA-MakeMyTrip,cnfrmd,Pndng,U P I,INR359.46,376.09,KOLKATA,west bengal,India
BKG000059,HTL025,CUST82243,Suresh Pillai,suresh.pillai@hotmail.com,9996235699,2023-12-12,03/10/2024,22/03/2024,Sute,"5,237.00",6,WebSite,CANCELLED,PENDING,DEBIT CARD,942, 405.29 ,hyderabad,telangana,India
BKG000060,HTL007,CUST40493,meera singh,meera.singh@yahoo,7912-260-001,05-04-2024,2024-07-09,07/22/2024,DELUXE,2452,6,Mobile App,CANCELLED,PAId,Cash,INR441.36,Rs 124.96,CHENNAI,Tamil Nadu,India
BKG000061,HTL035,CUST04374,Mohan Bose,mohan.bose@mail,9422405920,30/09/2023,01 Mar 2024,"March 02, 2024",STANDARD,Rs 1707,null,makemytrip,Confirm,paidd,Cash,INR307.26, 109.72 ,mUMBAI,Maharashtra,India
BKG000062,HTL034,CUST17225,Amit Das,amit.das@mail,+919240434741,17/01/2024,2024-07-24,2024-08-02,STD,Rs 1874,6,WebSite,Canceled,PAId,Netbanking,,136,HYDERABAD,Telengana,India
BKG000063,HTL048,CUST04836,Meera  Singh,meera.singh@mail,6938-733-703,2024-08-30,11/05/2025,17-05-2025,deluxe ,"2,975.00",3,makemytrip,confirmed,Pndng,UPI,INR535.5,342.48,bengaluru,karnataka,India
BKG000064,HTL036,CUST54461,Naveen  Verma,naveen.verma@outlook.com,93289O1456,2024-02-16,10/06/24,"June 12, 2024",STD,1623,1,AGODA,cancel,Pending,CREDIT CARD,"""292.14""",104.31,Mumbai,MAHARASHTRA,India
BKG000065,HTL031,CUST17323,Kavya Bajaj,kavya..bajaj@gmail.com,6930454184,"January 06, 2024",18 May 2024,30-05-2024,suite ,"5,074.00",N/A,Booking.com,cnfrmd,paidd,Wallt,913.32,252.56,CHENNAI,Tamilnadu,India
BKG000066,HTL022,CUST47954,Divya Iyer,divya..iyer@hotmail.com,99333O6230,28/06/24,2024-11-17,29/11/24,Standerd,1746,1,OTA-Agoda,Confirm,paidd,Cash,314,188.74,Hyderabad,Telangana,India
BKG000067,HTL025,CUST35721,Sneha Verma,sneha.verma@mail,+91-88580 52632,17/08/24,"October 03, 2024",17/10/24,Suite, 4988 ,4,Booking.com,CONFIRMED,Pending,DEBIT CARD,Rs 897.84,863,kolkatta,west bengal,India
BKG000068,HTL049,CUST33682,Rohit Bajaj,NA,N/A,06/27/2024,30-12-2024,04/01/25,suite , 4758 ,3,booking.com,No-show,paid,credit card,856.44, 821.75 ,Dilhi,NCT Delhi,India
BKG000069,HTL016,CUST63157,Sarita Iyer,NA,7605028164,"May 05, 2024",10 Jul 2024,18-07-2024,Delux,N/A,2,OTA-Booking.com,CONFIRMED,Paid,credit card,435.78,N/A,Bengaluru,KARNATAKA,India
BKG000070,HTL026,CUST38685,Ravi Chopra,ravi.chopra@gmail,9027574544,"October 17, 2024",01/27/2025,04 Feb 2025,STANDARD,1912,6,APP,confirmed,pending,wallet,344.16,228.47,Mumbai,maharashtra,India
BKG000071,HTL010,CUST44397,Tina Patel,tina.patel@hotmail,+919056603616,04/02/2024,"September 28, 2024","October 02, 2024",DELUXE, 2980 ,1,walk-in,Confirm,pendng,Wallet,536.40,196.78,New Delhi,Delhi,India
BKG000072,HTL004,CUST61386,sneha pillai,,,24/10/24,2025-05-03,2025-05-07,STD,1435,1,BOOKING.COM,CANCEL,Pai d,Upi,Rs 258.3,"""194.99""",Bengluru,Karnataka,India
BKG000073,HTL026,CUST18450,  Mohan Iyer,NA,8618335974,13/07/23,2024-03-04,"March 14, 2024",suite, 5237 ,1,agoda,Confirmed,failedd,upi,Rs 942.66,667,Dehli,Delhi,India
BKG000074,HTL014,CUST29572,PRIYA MISHRA,priya.mishra@yahoo,9323964402,2023-12-22,"May 05, 2024",19/05/24,delux,"""2777""",2,Mobile App,Confirm,P A I D,Net Bankng,499.86,103,Calcutta,W Bengal,India
BKG000075,HTL005,CUST52090,Priya Mukherjee,PRIYA.MUKHERJEE@MAIL.COM,7284423471,20/06/24,20/03/2025,2025-03-26,Delux,"2,444.00",1,Web Site,confirmed,PAId,WALLET,439.92,INR335.32,Mumbay,maharashtra,India
BKG000076,HTL019,CUST73049,RAVI GUPTA,ravi.gupta@yahoo.com,+91-76227 77733,01 Nov 2023,14/06/24,21 Jun 2024,suite,4771,4,booking.com,Confirmed,PAId,Wallt,858.78,"""192.5""",Bengluru,Karnataka,India
BKG000077,HTL004,CUST51718,RAHUL TIWARI,rahul..tiwari@hotmail.com,,19 Oct 2023,"March 27, 2024",04/06/2024,Delux,2845,4,OTA-Agoda,Cncld,Failed,upi, 512.1 ,"""163.68""",dElhi,NCT Delhi,India
BKG000078,HTL050,CUST02025,  Neha Gupta,,,18-04-2024,05/24/2024,06/03/2024,SUITE,5197,5,Agoda,CANCELLED,PAId,csh, 935.46 ,671.13,Channai,TAMIL NADU,India
BKG000079,HTL022,CUST34363,  Mohan Kapoor,mohankapoor@,+918340012762,16/01/2024,07/03/24,09 Mar 2024,STANDARD,INR1920,3,website,no show,paidd,Wallt,345,358.87,Channai,TamilNadu,India
BKG000080,HTL045,CUST83696,Deepak Verma,DEEPAK.VERMA@REDIFFMAIL.COM,N/A,01/03/24,25-11-2024,2024-12-04,Standard,"""1873""",6,BOOKING.COM,cnfrmd,PAId,Creditcard,Rs 337.14,Rs 204.78,Chenai,Tamilnadu,India
BKG000081,HTL001,CUST14202,Divya Pillai,divya.pillai@mail,,2024-04-09,2024-07-21,"August 03, 2024",STD,"""1260""",3,app,confirmed,paidd,Netbanking,,144.63,MUMBAI,MAHARASHTRA,India
BKG000082,HTL010,CUST61798,VIKAS IYER,vikas..iyer@outlook.com,81899O4023,"July 20, 2024",17/02/2025,02/26/2025,Suites, 4758 ,N/A,website,confirmed,PAId,U P I,856.44,N/A,Calcutta,west bengal,India
BKG000083,HTL047,CUST05375,Vikas Singh,vikas.singh@mail,N/A,03/04/2025,"March 27, 2025",04/06/2025,deluxe ,2417.00,4,walkin,Confirm,PAID,WALLET,"""435.06""",INR247.84,Bombay,maharashtra,India
BKG000084,HTL001,CUST29016,  Sanjay Malhotra,,7940598026,05/11/2024,09/26/2024,2024-09-27,STANDARD,INR1409,6,OTA-MMT,no-show,PAID,UPI,"""253.62""",99.74,KOLKATA,West Bengal,India
BKG000085,HTL024,CUST83284,  Geeta Bose,geeta.bose@outlook.com,8186482308,01/12/2024,2025-03-08,13/03/2025,  Deluxe,"2,777.00",3,booking.com,cnfrmd,PAId,NET BANKING,499.86,413.27,Channai,TamilNadu,India
BKG000086,HTL034,CUST39609,SUNITA PATEL,,7066293151,12/28/2024,12/01/25,23 Jan 2025,Standard,1933,2,walk-in,Confirm,PAId,NET BANKING,"""347.94""", 240.74 ,Chenai,Tamil Nadu,India
BKG000087,HTL011,CUST15293,RAJESH MISHRA,rajesh.mishra@hotmail,INVALID,12-02-2024,30/04/24,03/05/2024,dELuxE,"""2869""",1,Mobile App,cncl,pendng,CREDIT CARD,"""516.42""",271.84,Chenai,Tamil Nadu,India
BKG000088,HTL039,CUST00610,Anjali  Chatterjee,NA,76838O8876,2024-05-09,08/24/2024,02 Sep 2024,Delux,2528,1,makemytrip,Cancelled,PAID,upi, 455.04 ,249.82,Madras,Tamil Nadu,India
BKG000089,HTL033,CUST64570,Mohan  Roy,mohan.roy@yahoo.com,+919066901079,26 Jul 2024,"January 12, 2025",14 Jan 2025,delux,2358,5,Web Site,ns,P A I D,wallet,Rs 424.44, 437.83 ,Hyd,telangana,India
BKG000090,HTL022,CUST03847,vikas chopra,,,2024-08-29,31-12-2024,06-01-2025,Standard ,1671,3,App,Canceled,FAILED,Debit Card,300,Rs 170.79,BENGALURU,KARNATAKA,India
BKG000091,HTL007,CUST17782,Rekha  Sethi,REKHA.SETHI@YAHOO.COM,8036871568,17 May 2024,08 Jun 2024,14/06/2024,Deluxe,2278,4,agoda,cancel,paidd,Wallet,410.04,INR141.86,Dehli,NCT Delhi,India
BKG000092,HTL020,CUST48630,Ravi  Khanna,ravi.khanna@gmail.com,+91-93295 73783,02/14/2024,19-09-2024,24-09-2024,STD,1500,6,Booking.com,Pendng,paidd,wallet,270.00,Rs 7.42,DELHI,Delhi,India
BKG000093,HTL036,CUST70805,rekha verma,rekha..verma@rediffmail.com,INVALID,25/09/23,07/07/2024,19/07/24,deluxe ,INR2432,6,WebSite,confirmed,FAIL,Upi,437.76,110,Dilhi,Delhi,India
BKG000094,HTL019,CUST20254,Arjun Iyer,arjun..iyer@yahoo.com,8760-948-377,07/13/2024,2024-08-14,15/08/2024,Deluxe,"2,278.00",6,agoda,Canceled,Pendig,credit card,Rs 410.04,234.01,chenai,TAMIL NADU,India
BKG000095,HTL039,CUST12979,Kiran Pillai  ,NA,9610256342,06/10/24,21 Oct 2024,02-11-2024,executiv,"3,391.00",6,WEBSITE,cnfrmd,P A I D,Net Bankng,610.38,Rs 79.06,hyderabad,Telengana,India
BKG000096,HTL008,CUST80695,manoj kumar,manoj.kumar@outlook.com,7335-174-656,27/10/23,2024-07-02,2024-07-12,STANDARD, 1663 ,1,Booking.com,NoShow,PAId,upi, 299.34 ,"""204.31""",Madras,Tamilnadu,India
BKG000097,HTL003,CUST36667,Sanjay Chopra,sanjaychopra@,8025513444,"January 12, 2024",01/07/2024,11/07/24,dELuxE,2697,5,MMT,cnfrmd,Paid,Upi,485,Rs 369.66,KOLKATA,WEST BENGAL,India
BKG000098,HTL034,CUST06071,Kavya Joshi,kavya.joshi@mail,INVALID,29-05-2024,07/10/2024,21 Jul 2024,dELuxE, 2352 ,5,OTA-MakeMyTrip,no-show,pending,Net Bankng,423.36,168,Chennai,TAMIL NADU,India
BKG000099,HTL036,CUST58288,Vikas Patel,,INVALID,2023-04-21,2024-02-13,02/19/2024,  Deluxe,2643,5,OTA-Booking.com,NO SHOW,PAId,Creditcard,Rs 475.74,254.46,Bombay,Maharastra,India
BKG000100,HTL045,CUST47538,Sunil Pillai,sunil.pillai@mail,INVALID,2023-09-29,2024-01-07,14/01/2024,Deluxe,2255.00,3,walkin,cnfrmd,PENDING,Wallet,405.90, 83.44 ,HYDERABAD,Telengana,India
BKG000101,HTL012,CUST06019,Manoj Mehta,NA,7019-011-348,22/06/2023,"March 13, 2024",16/03/2024,delux,Rs 2238,2,Agoda,Canceled,PAID,Debitcard,402.84,14.10,Hyd,TELANGANA,India
BKG000102,HTL001,CUST84519,REKHA MALHOTRA,rekha.malhotra@outlook,INVALID,05/17/2024,13/12/2024,18/12/2024,deluxe ,2390,2,BOOKING.COM,CONFIRMED,Pndng,Netbanking,Rs 430.2,239.29,DELHI,delhi,India
BKG000103,HTL004,CUST52185,  Sanjay Patel,NA,+918147533695,15 Aug 2024,"February 20, 2025",2025-02-26,DELUXE,2699,3,makemytrip,Confirm,Pai d,WALLET,Rs 485.82, 412.42 ,Madras,TAMIL NADU,India
BKG000104,HTL011,CUST16012,Divya Rao  ,NA,7835434685,13/11/2023,19/03/24,"March 24, 2024",Standard , 1705 ,N/A,Website,Confirm,Pai d,Net Bankng,306.90,315,HYDERABAD,Telangana,India
BKG000105,HTL002,CUST59601,SUNIL TIWARI,,7726072014,12/05/2024,30/06/24,14 Jul 2024,Delux, 2303 ,5,Website,cnfrmd,PENDING,Netbanking,INR414.54,181.32,Chennai,TAMIL NADU,India
BKG000106,HTL011,CUST03476,Sunita Khanna,sunita..khanna@rediffmail.com,8633-917-299,07/22/2024,"October 30, 2024","November 12, 2024",Standard,Rs 1606,5,OTA-Agoda,Confirmed,FAILED,csh, 289.08 ,59,chenai,Tamilnadu,India
BKG000107,HTL050,CUST78270,  Rahul Gupta,rahul.gupta@gmail.com,93994O0133,16 Jul 2024,29/07/2024,09/08/2024,STD,INR1425,6,WALK IN,CONFIRMED,Pai d,DEBIT CARD,256.50,INR171.02,Hyderabad,Telangana,India
BKG000108,HTL043,CUST06630,Amit Rao  ,amit.rao@gmail.com,N/A,2024-02-25,2024-11-03,11/07/2024,Standerd,1293,1,OTA-MakeMyTrip,Cancelled,PENDING,WALLET,232.74,Rs 26.82,Madras,TAMIL NADU,India
BKG000109,HTL007,CUST31926,HARISH MUKHERJEE,NA,+91-61571 17132,2023-08-04,13/05/2024,05/16/2024,Delux,INR2276,1,MakeMyTrip,NoShow,Pai d,Net Banking,409.68,193.67,Delhi,DELHI,India
BKG000110,HTL032,CUST74001,Naveen Shah,NA,+91-79138 10749,07/19/2024,03/11/2025,22/03/2025,Standard , 1913 ,5,walk-in,CONFIRMED,Pai d,cash,344.34,28.73,Calcutta,West Bengal,India
BKG000111,HTL011,CUST72642,vikram pillai,,8102547179,28-02-2024,18 Jun 2024,19/06/24,Standerd,INR1877,3,walkin,Canceled,P A I D,upi,N/A,69.65,Dehli,NCT Delhi,India
BKG000112,HTL006,CUST28306,Divya Chopra,NA,9256504607,09-11-2023,27/06/2024,07/08/2024,Standard ,1996,6,OTA-Agoda,CONFIRMED,Paid,Wallt, 359.28 ,null,Madras,Tamilnadu,India
BKG000113,HTL035,CUST30540,SUNITA KAPOOR,,+919238115223,"December 31, 2023",02-01-2024,13-01-2024,Standerd,"1,813.00",5,App,pend,paid,Netbanking,"""326.34""",Rs 21.39,bengaluru,KARNATAKA,India
BKG000114,HTL016,CUST19341,kavya mehta,kavya.mehta@rediffmail.com,N/A,2024-05-19,19/05/24,"May 21, 2024",STD,1474.00,6,Web Site,cnfrmd,Paid,Wallt,N/A,133.36,Bangalore,KARNATAKA,India
